FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
logist-static,https://77.105.184.159,,82,200,128646,1455,166,text/html,151.945002ms,,266d852
static-upload-t1,https://77.105.184.159,,84,200,128646,1455,166,text/html,159.192112ms,,266d854
